libxml2 2.14.3-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxnvctrl 575.57.08-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux-api-headers 6.14-1
linux-firmware 20250508.788aadc8-2
linux-firmware-whence 20250508.788aadc8-2
linux-zen 6.14.10.zen1-1
linux-zen-headers 6.14.10.zen1-1
llvm-libs 19.1.7-2
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lpsolve 5.5.2.11-3
lsof 4.99.4-1
lsp-plugins 1.2.22-1
lsp-plugins-clap 1.2.22-1
lsp-plugins-gst 1.2.22-1
lsp-plugins-ladspa 1.2.22-1
lsp-plugins-lv2 1.2.22-1
lsp-plugins-standalone 1.2.22-1
lsp-plugins-vst 1.2.22-1
lsp-plugins-vst3 1.2.22-1
lua 5.4.8-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mdadm 4.4-1
mesa 1:25.1.3-2
meson 1.8.1-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.32.10-1
mtdev 1.1.7-1
ncurses 6.5-4
ndctl 79-1
neon 0.34.2-1
netpbm 10.86.46-3
nettle 3.10.1-1
nftables 1:1.1.3-1
ninja 1.12.1-2
noto-fonts 1:2025.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2025.06.01-1
npth 1.8-1
nspr 4.36-1
nss 3.112-1
ntp 4.2.8.p18-3
numactl 2.0.19-1
nvidia-dkms 575.57.08-1
nvidia-settings 575.57.08-1
nvidia-utils 575.57.08-1
nvtop 3.2.0-1
nwg-look 1.0.5-1
obsidian 1.8.10-1
ocl-icd 2.3.3-1
onetbb 2022.1.0-1
oniguruma 6.9.10-1
openbsd-netcat 1.229_1-1
opencl-nvidia 575.57.08-1
opencore-amr 0.1.6-2
openjpeg2 2.5.3-1
openssh 10.0p1-3
openssl 3.5.0-1
opus 1.5.2-1
orc 0.4.41-1
osinfo-db 20250124-1
ostree 2025.2-3
otf-hasklig-nerd 3.4.0-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20250522-1
pahole 1:1.30-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm 2.46.4-1
parted 3.6-2
patch 2.8-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
perl 5.40.2-1
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
phodav 3.0-4
pinentry 1.3.1-5
pipewire 1:1.4.5-1
pipewire-alsa 1:1.4.5-1
pipewire-audio 1:1.4.5-1
pipewire-jack 1:1.4.5-1
pipewire-pulse 1:1.4.5-1
pipewire-session-manager 1:1.4.5-1
pixman 0.46.0-1
pkgconf 2.4.3-1
playerctl 2.4.1-4
